Duración_segundos,¿Estás informado sobre los videos generados con Inteligencia Artificial como deepfake? ,¿Alguna vez has visto un video hecho por Inteligencia Artificial? ,¿Sabes generar videos o imágenes con Inteligencia Artificial? ,¿El siguiente video es Real o es una IA?,¿El siguiente video es Real o es una IA?2,¿El siguiente video es Real o es una IA?3,¿El siguiente video es Real o es una IA?4,¿El siguiente video es Real o es una IA?5,¿El siguiente video es Real o es una IA?6,¿El siguiente video es Real o es una IA?7,¿El siguiente video es Real o es una IA?8,¿El siguiente video es Real o es una IA?9,¿El siguiente video es Real o es una IA?10,Seleccione su rango de edad_18-25,Seleccione su rango de edad_25-30,Seleccione su rango de edad_31-40,Seleccione su rango de edad_41-50,¿Con qué frecuencia usas redes sociales al día?_2-4 horas,¿Con qué frecuencia usas redes sociales al día?_4-6 horas,¿Con qué frecuencia usas redes sociales al día?_6-8 horas,¿Con qué frecuencia usas redes sociales al día?_8-10 horas,¿Con qué frecuencia usas redes sociales al día?_más de 10 horas,rrss_Facebook,rrss_Instagram,rrss_Otras,rrss_Tiktok,rrss_Whatsapp,rrss_X,¿El siguiente video es Real o es una IA?_acierto,¿El siguiente video es Real o es una IA?2_acierto,¿El siguiente video es Real o es una IA?3_acierto,¿El siguiente video es Real o es una IA?4_acierto,¿El siguiente video es Real o es una IA?5_acierto,¿El siguiente video es Real o es una IA?6_acierto,¿El siguiente video es Real o es una IA?7_acierto,¿El siguiente video es Real o es una IA?8_acierto,¿El siguiente video es Real o es una IA?9_acierto,¿El siguiente video es Real o es una IA?10_acierto
48.0,0.0,0.0,0.0,1,0,0,1,1,1,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,0,0,1,1,1,1,1,0,0
121.0,0.0,0.0,0.0,0,1,1,0,1,1,0,1,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,1,0,1,1,0,1,0,1
138.0,0.0,0.0,1.0,1,0,1,1,0,1,0,0,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,0,1,1,0,1,0,0,1,1
194.0,0.0,0.0,0.0,1,0,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0,1,1,1,1,1,1,1,1
129.0,0.0,0.0,0.0,1,1,1,1,1,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1,1,1,1,1,1,1,0,0,0
216.0,0.0,0.0,0.0,0,0,0,1,1,0,1,1,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0,1,1,0,1,1,1,0
42.0,0.0,1.0,0.0,1,1,1,1,0,0,0,1,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1,1,1,1,0,0,0,1,1,1
162.0,0.0,0.0,0.0,1,1,1,1,1,0,1,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,1,0,1,1,1,1
138.0,1.0,0.0,1.0,0,1,1,1,0,1,1,1,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1,1,1,0,1,1,1,0,1
62.0,0.0,0.0,0.0,1,0,1,1,1,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,1,1,1,0,0,0,1,0
168.0,0.0,0.0,1.0,1,1,1,1,1,0,1,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,1,1
212.0,1.0,0.0,1.0,1,0,0,1,1,0,1,1,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1,0,0,1,1,0,1,1,1,1
231.0,0.0,0.0,0.0,1,0,1,1,1,0,1,1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,1,1,1,0,1,1,1,1
225.0,0.0,0.0,0.0,1,1,1,1,1,0,1,1,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,1,0,1,1,1,1
227.0,0.0,0.0,0.0,1,0,0,1,1,0,1,0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1,0,0,1,1,0,1,0,1,1
145.0,0.0,0.0,0.0,0,0,1,1,1,0,1,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,1,0,1,1,0,1
143.0,1.0,1.0,1.0,0,1,1,1,1,1,1,1,0,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1,1,1,1,1,1,0,1
229.0,0.0,0.0,1.0,1,1,1,1,0,1,1,1,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,1,1,1,0,1,1,1,1,1
251.0,0.0,0.0,1.0,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,1,1,1,1,1,1,1,1
360.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1,1,1,1,0,1,0,1,1
360.0,0.0,0.0,0.0,1,1,1,1,1,0,1,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,1,1,1,1,0,1,0,1,1
219.0,0.0,0.0,1.0,1,1,1,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,1,1,0,0,0,1,0,0,1
